algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,seed,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,89,pigs09,72.34,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,97,pigs09,75.223,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,101,pigs09,75.484,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,103,pigs09,75.834,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,107,pigs09,71.794,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,109,pigs09,75.32,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,113,pigs09,76.071,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,73,pigs00,31.299,4.0,16.0,16.0,16.0,15.0,-1674260.52358658
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,2,pigs09,46.207,10.0,20.0,12.0,12.0,7.0,-1676928.1613492817
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,3,pigs09,48.74,0.0,0.0,0.0,0.0,8.0,-1674930.847815675
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,5,pigs09,49.317,0.0,0.0,0.0,0.0,8.0,-1674980.257353881
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,7,pigs09,47.531,0.0,0.0,0.0,0.0,7.0,-1674953.8845428694
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,11,pigs09,44.527,8.0,22.0,22.0,22.0,7.0,-1675737.1667455013
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,13,pigs09,48.758,0.0,0.0,0.0,0.0,9.0,-1674921.0610318587
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,17,pigs09,48.851,0.0,0.0,0.0,0.0,8.0,-1675007.3443394247
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,19,pigs09,49.964,0.0,0.0,0.0,0.0,8.0,-1674980.257353881
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,23,pigs09,48.551,0.0,0.0,0.0,0.0,9.0,-1674921.0610318587
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,29,pigs09,47.001,4.0,12.0,12.0,12.0,7.0,-1675474.792274651
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,79,pigs00,38.754,0.0,0.0,0.0,0.0,21.0,-1674174.9745832006
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,31,pigs09,48.455,0.0,0.0,0.0,0.0,8.0,-1674980.257353881
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,37,pigs09,48.951,0.0,0.0,0.0,0.0,9.0,-1674927.0831009997
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,41,pigs09,46.234,8.0,22.0,22.0,22.0,7.0,-1675737.1667455013
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,43,pigs09,66.353,4.0,14.0,14.0,14.0,6.0,-1675352.8966393915
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,47,pigs09,49.534,0.0,0.0,0.0,0.0,10.0,-1674974.5530712763
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,53,pigs09,45.297,5.0,14.0,12.0,12.0,7.0,-1675409.601864335
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,59,pigs09,49.823,0.0,0.0,0.0,0.0,10.0,-1674921.0610318587
