algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes10,11.277,258.0,566.0,108.0,108.0,9.0,-476161.6128065773
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes_ALL,21.621,293.0,638.0,246.0,246.0,7.0,-5177385.126212496
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes00,11.309,181.0,402.0,62.0,62.0,18.0,-472487.8506219526
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes01,12.768,169.0,372.0,42.0,42.0,18.0,-472850.19147571496
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes02,10.114,136.0,294.0,0.0,0.0,17.0,-471898.35686223255
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes03,8.138,160.0,344.0,18.0,18.0,13.0,-470984.8189851061
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes04,8.553,160.0,342.0,24.0,24.0,12.0,-471399.41963858966
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes05,8.342,157.0,346.0,42.0,42.0,13.0,-471878.1647949719
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes06,9.673,153.0,338.0,28.0,28.0,15.0,-471400.10268448654
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes07,10.8,158.0,340.0,8.0,8.0,17.0,-471711.6303479586
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes08,9.744,177.0,384.0,34.0,34.0,13.0,-472819.83069906477
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes09,8.994,177.0,396.0,68.0,68.0,15.0,-472305.0927882494
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes10,11.192,179.0,388.0,34.0,34.0,20.0,-472129.9434281714
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,andes_ALL,26.563,209.0,492.0,266.0,266.0,10.0,-5152589.529582494
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes00,21.745,200.0,448.0,66.0,66.0,13.0,-474090.83513401693
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes01,35.292,190.0,438.0,104.0,104.0,15.0,-473543.4284383656
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes02,13.514,295.0,772.0,434.0,434.0,9.0,-475584.541546053
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes03,15.552,220.0,502.0,124.0,124.0,11.0,-473520.63080814586
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes04,13.788,276.0,688.0,322.0,322.0,9.0,-474341.63173823414
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes05,12.971,263.0,630.0,292.0,292.0,10.0,-475065.54938601673
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes06,30.31,174.0,398.0,72.0,72.0,18.0,-473092.83720190683
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes07,15.427,242.0,562.0,180.0,180.0,12.0,-474026.05163785064
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes08,15.812,244.0,598.0,206.0,206.0,11.0,-474942.6370935732
