algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs_ALL,100.68,0.0,0.0,0.0,0.0,4.0,-1.824261651513647E7
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs00,41.355,0.0,0.0,0.0,0.0,5.0,-1673793.5225456404
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs01,50.972,0.0,0.0,0.0,0.0,10.0,-1673101.0629595872
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs02,44.943,0.0,0.0,0.0,0.0,7.0,-1674496.465023205
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs03,50.772,0.0,0.0,0.0,0.0,10.0,-1675456.9143243495
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs04,47.923,19.0,52.0,44.0,44.0,10.0,-1679297.766864789
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs05,51.529,24.0,74.0,72.0,72.0,13.0,-1678912.296997058
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs06,51.298,18.0,68.0,68.0,68.0,12.0,-1676929.9799929515
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs07,45.711,11.0,42.0,42.0,42.0,9.0,-1676279.6049107844
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs08,47.575,29.0,88.0,88.0,88.0,10.0,-1679785.0365805554
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs09,53.146,0.0,0.0,0.0,0.0,11.0,-1674921.0610318587
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs10,44.914,0.0,0.0,0.0,0.0,9.0,-1674863.4621470338
cges,pigs,HierarchicalClustering,2,c2,BEST_BROADCASTING,pigs_ALL,80.684,0.0,0.0,0.0,0.0,10.0,-1.8243282169829197E7
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs00,38.732,6.0,22.0,22.0,22.0,17.0,-1674678.7987120736
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs01,31.691,2.0,8.0,8.0,8.0,11.0,-1673244.5150403993
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs02,27.156,2.0,8.0,8.0,8.0,9.0,-1674691.3126632944
